23,3,63.91752577319588,80.64516129032258,45.714285714285715,85.71428571428571,68.04123711340206,36.0655737704918,39.130434782608695,50.0,15,14,36.904761904761905,53.591160220994475,4,0,72.61904761904762,63.9344262295082,60.869565217391305,50.0,63.095238095238095,19.35483870967742,54.285714285714285,14.285714285714286,14,15,31.95876288659794,46.408839779005525,"p1"
7,2,67.53246753246754,78.84615384615384,48.0,71.42857142857143,68.83116883116882,26.53061224489796,55.0,60.0,13,12,34.78260869565217,52.73972602739726,4,0,71.01449275362319,73.46938775510205,45.0,40.0,65.21739130434783,21.153846153846153,52.0,28.571428571428573,12,13,31.16883116883117,47.26027397260274,"p1"
4,1,62.06896551724138,75.0,81.81818181818181,0,77.58620689655173,14.285714285714286,51.515151515151516,50.0,10,10,34.42622950819672,55.46218487394958,4,3,45.90163934426229,85.71428571428571,48.484848484848484,50.0,65.57377049180327,25.0,18.181818181818183,0,10,10,22.413793103448278,44.53781512605042,"p1"
1,1,72.72727272727273,66.07142857142857,66.66666666666667,80.0,66.23376623376623,27.027027027027028,58.333333333333336,100.0,11,10,39.34426229508197,54.34782608695652,9,2,60.65573770491803,72.97297297297297,41.666666666666664,0.0,60.65573770491803,33.92857142857143,33.333333333333336,20.0,10,11,33.76623376623377,45.65217391304348,"p1"
6,5,45.1219512195122,78.37837837837837,53.333333333333336,57.142857142857146,64.63414634146342,19.23076923076923,45.23809523809524,7.142857142857143,14,14,30.851063829787233,46.59090909090909,3,3,55.319148936170215,80.76923076923077,54.76190476190476,92.85714285714286,69.14893617021276,21.62162162162162,46.666666666666664,42.857142857142854,14,14,35.36585365853659,53.40909090909091,"p2"
2,2,67.01030927835052,80.0,34.375,60.0,64.94845360824742,29.850746268656717,46.15384615384615,15.384615384615385,16,16,36.97478991596638,49.53703703703704,11,3,56.30252100840336,70.14925373134328,53.84615384615385,84.61538461538461,63.02521008403362,20.0,65.625,40.0,16,16,35.05154639175258,50.46296296296296,"p2"
1,2,59.57446808510638,53.57142857142857,26.31578947368421,37.5,42.5531914893617,5.2631578947368425,33.333333333333336,0,7,7,17.647058823529413,32.098765432098766,3,0,55.88235294117647,94.73684210526316,66.66666666666667,0,82.3529411764706,46.42857142857143,73.6842105263158,62.5,7,7,57.4468085106383,67.90123456790124,"p2"
0,1,65.9090909090909,58.62068965517241,40.0,33.333333333333336,52.27272727272727,25.0,46.15384615384615,33.333333333333336,8,9,30.18867924528302,40.20618556701031,12,1,75.47169811320755,75.0,53.84615384615385,66.66666666666667,69.81132075471699,41.37931034482759,60.0,66.66666666666667,9,8,47.72727272727273,59.79381443298969,"p2"
11,1,67.6923076923077,81.81818181818181,71.42857142857143,100.0,78.46153846153847,2.857142857142857,60.869565217391305,25.0,11,10,25.862068965517242,53.65853658536585,11,1,60.3448275862069,97.14285714285714,39.130434782608695,75.0,74.13793103448276,18.181818181818183,28.571428571428573,0.0,10,11,21.53846153846154,46.34146341463415,"p1"
7,2,64.0625,80.48780487804878,65.21739130434783,0.0,75.0,15.217391304347826,68.0,40.0,11,11,33.80281690140845,53.333333333333336,5,7,64.78873239436619,84.78260869565217,32.0,60.0,66.19718309859155,19.51219512195122,34.78260869565217,100.0,11,11,25.0,46.666666666666664,"p1"
2,2,65.78947368421052,52.0,23.076923076923077,37.5,42.10526315789474,16.666666666666668,25.0,0.0,7,7,21.05263157894737,31.57894736842105,1,2,47.36842105263158,83.33333333333333,75.0,100.0,78.94736842105263,48.0,76.92307692307692,62.5,7,7,57.89473684210526,68.42105263157895,"p2"
8,0,58.69565217391305,92.5925925925926,63.1578947368421,100.0,80.43478260869566,27.027027027027028,73.33333333333333,100.0,9,9,40.38461538461539,59.183673469387756,4,3,71.15384615384616,72.97297297297297,26.666666666666668,0.0,59.61538461538461,7.407407407407407,36.8421052631579,0.0,9,9,19.565217391304348,40.816326530612244,"p1"
6,1,61.36363636363637,81.48148148148148,64.70588235294117,100.0,75.0,16.666666666666668,62.5,40.0,7,6,38.23529411764706,58.97435897435897,3,2,52.94117647058823,83.33333333333333,37.5,60.0,61.76470588235294,18.51851851851852,35.294117647058826,0.0,6,7,25.0,41.02564102564103,"p1"
6,4,56.8421052631579,59.25925925925926,48.78048780487805,61.53846153846154,54.73684210526316,28.78787878787879,56.09756097560975,50.0,14,15,39.25233644859813,46.53465346534654,3,3,61.6822429906542,71.21212121212122,43.90243902439025,50.0,60.74766355140187,40.74074074074074,51.21951219512195,38.46153846153846,15,14,45.26315789473684,53.46534653465346,"p2"
2,4,62.13592233009709,65.625,58.97435897435897,55.55555555555556,63.10679611650485,24.615384615384617,52.63157894736842,42.857142857142854,17,17,34.95145631067961,49.029126213592235,5,2,63.10679611650485,75.38461538461539,47.36842105263158,57.142857142857146,65.04854368932038,34.375,41.02564102564103,44.44444444444444,17,17,36.89320388349515,50.970873786407765,"p2"
2,2,52.83018867924528,71.42857142857143,28.0,0.0,50.943396226415096,27.77777777777778,37.5,33.333333333333336,9,9,30.76923076923077,40.95238095238095,2,1,69.23076923076923,72.22222222222223,62.5,66.66666666666667,69.23076923076923,28.571428571428573,72.0,100.0,9,9,49.056603773584904,59.04761904761905,"p2"
1,4,55.26315789473684,69.04761904761905,47.05882352941177,0.0,59.21052631578947,28.846153846153847,52.0,33.333333333333336,12,12,40.19607843137255,48.31460674157304,7,2,50.98039215686274,71.15384615384616,48.0,66.66666666666667,59.80392156862745,30.952380952380953,52.94117647058823,100.0,12,12,40.78947368421053,51.68539325842696,"p2"
